Homo Sapien     GRCh38.fasta					link	submitter
Helicobacter Pylori	GCF_000008525.1_ASM852v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1/GCF_000008525.1_ASM852v1_genomic.fna.gz	TIGR
Escherichia coli	GCF_000005845.2_ASM584v2_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna.gz	University of Wisconsin - Madison - E.coli Genome Project
Corynebacterium accolens	GCF_000159115.1_ASM15911v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/115/GCF_000159115.1_ASM15911v1/GCF_000159115.1_ASM15911v1_genomic.fna.gz	Baylor College of Medicine Human Genome Sequencing Center
Corynebacterium tuberculostearicum	GCF_000175635.1_ASM17563v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/635/GCF_000175635.1_ASM17563v1/GCF_000175635.1_ASM17563v1_genomic.fna.gz	J. Craig Venter Institute
Gemella haemolysans	GCF_000173915.1_ASM17391v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/915/GCF_000173915.1_ASM17391v1/GCF_000173915.1_ASM17391v1_genomic.fna.gz	The Human Microbiome Project
Moraxella catarrhalis	GCF_000092265.1_ASM9226v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/265/GCF_000092265.1_ASM9226v1/GCF_000092265.1_ASM9226v1_genomic.fna.gz	Radboud University Nijmegen Medical Centre
Cutibacterium acnes	GCF_000008345.1_ASM834v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/345/GCF_000008345.1_ASM834v1/GCF_000008345.1_ASM834v1_genomic.fna.gz	Goettingen Genomics Laboratory
Staphylococcus epidermidis	GCF_000007645.1_ASM764v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/645/GCF_000007645.1_ASM764v1/GCF_000007645.1_ASM764v1_genomic.fna.gz	"Chinese National Human Genome Centre, Shanghai"
Streptococcus mitis	GCF_000027165.1_ASM2716v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/165/GCF_000027165.1_ASM2716v1/GCF_000027165.1_ASM2716v1_genomic.fna.gz	"Department of Microbiology, University of Kaiserslautern"
Ureaplasma urealyticum	GCF_000021265.1_ASM2126v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/265/GCF_000021265.1_ASM2126v1/GCF_000021265.1_ASM2126v1_genomic.fna.gz	J. Craig Venter Institute
Bacteroides fragilis	GCF_000009925.1_ASM992v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1/GCF_000009925.1_ASM992v1_genomic.fna.gz	Kitasato University
Abiotrophia defectiva	GCF_000160075.2_ASM16007v2_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/075/GCF_000160075.2_ASM16007v2/GCF_000160075.2_ASM16007v2_genomic.fna.gz	Washington University Genome Sequencing Center
Bulleidia extructa	GCF_000177375.1_ASM17737v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/177/375/GCF_000177375.1_ASM17737v1/GCF_000177375.1_ASM17737v1_genomic.fna.gz	J. Craig Venter Institute
Campylobacter rectus	GCF_000174175.1_ASM17417v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/175/GCF_000174175.1_ASM17417v1/GCF_000174175.1_ASM17417v1_genomic.fna.gz	J. Craig Venter Institute
Catonella morbi	GCF_000160035.2_ASM16003v2_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/035/GCF_000160035.2_ASM16003v2/GCF_000160035.2_ASM16003v2_genomic.fna.gz	Washington University Genome Sequencing Center
Fusobacterium nucleatum	GCF_000007325.1_ASM732v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/325/GCF_000007325.1_ASM732v1/GCF_000007325.1_ASM732v1_genomic.fna.gz	Integrated Genomics
Haemophilus influenzae	GCF_000027305.1_ASM2730v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1/GCF_000027305.1_ASM2730v1_genomic.fna.gz	TIGR
Kingella oralis	GCF_000160435.1_ASM16043v1_genomic.fna				ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/435/GCF_000160435.1_ASM16043v1/GCF_000160435.1_ASM16043v1_genomic.fna.gz	Washington University School of Medicine in St. Louis McDonnel Genome Institute
